what can I do at the office to decrease spread?,AdditionalWorkplaceHygiene
how to promote thorough hand-washing by employees?,AdditionalWorkplaceHygiene
How frequently do we need to sanitize the workplace?,AdditionalWorkplaceHygiene
any additional tips to decrease spread?,AdditionalWorkplaceHygiene
what can I do to decrease the spread of disease in my workplace?,AdditionalWorkplaceHygiene
do I need to provide PPE to customers?,AdditionalWorkplaceHygiene
How do I revise my workspace to reduce transmission risks?,AdditionalWorkplaceHygiene
Is it okay to allow business trips during Covid-19 pandemic?,AdditionalWorkplaceHygiene
How work from home policy can help employees to stay away from getting infected?,AdditionalWorkplaceHygiene
What are the key-points to be considered when employees travel?,AdditionalWorkplaceHygiene
Why do employers and organizers need to think about COVID-19?,AdditionalWorkplaceHygiene
What are the precautions to be carried out after the employees are returning from business travel ?,AdditionalWorkplaceHygiene
How to get the workplace ready in case COVID-19 arrives in community?,AdditionalWorkplaceHygiene
travel to other location,AdditionalWorkplaceHygiene
How to manage COVID-19 risk when organizing meetings & events,AdditionalWorkplaceHygiene
What are the precautions to be carried out before sending the employees for business travel ?,AdditionalWorkplaceHygiene
Should we need to display posters promoting hand-washing inside office premises?,AdditionalWorkplaceHygiene
Should I get my pet tested for COVID-19?,AnimalContact
Can animals carry the virus that causes COVID-19 on their skin or fur?,AnimalContact
What animal species can get COVID-19?,AnimalContact
can I get this from my cat?,AnimalContact
Animal contact,AnimalContact
Research on animals and COVID-19,AnimalContact
Are there any precautions to take with live animals or animal products?,AnimalContact
Are there any recommendations related to international movement of live animals or animal products?,AnimalContact
Are pets from a shelter safe to adopt?,AnimalContact
can I get this from my dog?,AnimalContact
can I get covid-19 from my pet?,AnimalContact
do dogs and cats get sick from corona virus?,AnimalContact
can i get it through animal,AnimalContact
Should I avoid contact with pets or other animals if I am sick with COVID-19?,AnimalContact
can my dog catch corona virus?,AnimalContact
consumption of raw or undercooked animal products,AnimalContact
visiting live animal markets,AnimalContact
international movement of live animals,AnimalContact
"If I get sick with COVID-19, could I infect my animal with the virus?",AnimalContact
COVID-19 tiger,AnimalContact
Aarogya setu,Any_Govt_App
Arogya setu,Any_Govt_App
how arogya setu can help,Any_Govt_App
can we use arogya setu,Any_Govt_App
Arogya setu app,Any_Govt_App
which is more safe app for covid as per govt,Any_Govt_App
Safest App to use,Any_Govt_App
safest app as per govt for covid,Any_Govt_App
is arogya setu useful,Any_Govt_App
safe app for covid,Any_Govt_App
Aarogyasetu,Any_Govt_App
Aarogyo setu,Any_Govt_App
Should I avoid funerals?,AttendingFuneral
Am I at risk if I go to a funeral or visitation service for someone who died of COVID-19?,AttendingFuneral
Can I go to a funeral of someone who died of  Corona Virus (COVID-19)?,AttendingFuneral
Can I go to a funeral?,AttendingFuneral
Are funerals safe?,AttendingFuneral
funeral,AttendingFuneral
engage in burial and funeral practices,AttendingFuneral
died from COVID-19 can be buried or cremated,AttendingFuneral
Is there a special protocol recommended for the funeral of people that died of the coronavirus disease?,AttendingFuneral
Are funerals safe? ,AttendingFuneral
going funeral,AttendingFuneral
Can I go to a funeral? ,AttendingFuneral
least affected city,BOTTOM5
BOTTOM 5 cities in india,BOTTOM5
BOTTOM 5 countries,BOTTOM5
BOTTOM 5 districts in india,BOTTOM5
least affected country,BOTTOM5
least no of cases,BOTTOM5
least affected state,BOTTOM5
BOTTOM 5,BOTTOM5
Low infected countries,BOTTOM5
Lower infected city,BOTTOM5
Lower infected states,BOTTOM5
Min infected locations,BOTTOM5
Minimum cases,BOTTOM5
Minimum deaths,BOTTOM5
minor affected country,BOTTOM5
BOTTOM locations in terms of deaths,BOTTOM5
BOTTOM locations in terms of cases,BOTTOM5
BOTTOM country in terms of cases,BOTTOM5
BOTTOM 5 states,BOTTOM5
BOTTOM 5 infected,BOTTOM5
COVID19 CDC,CDC_Response
What is the center for disease control doing to help?,CDC_Response
CDC response,CDC_Response
How is CDC helping Americans prepare?,CDC_Response
CDC guidance,CDC_Response
CDC works 24/7,CDC_Response
CDC URL,CDC_Response
covid cdc,CDC_Response
CDC,CDC_Response
corona CDC,CDC_Response
What is CDC doing about COVID-19?,CDC_Response
Does CDC work to protect public health?,CDC_Response
Guidance regarding Children wearing Facemasks,ChildrenAndFaceMasks
are facemasks recommended for children,ChildrenAndFaceMasks
